,name
0,Arkansas
1,California
2,Connecticut
3,Florida
4,Georgia
5,Illinois
6,Iowa
7,Kentucky
8,Louisiana
9,Maine
10,Maryland
11,Massachusetts
12,Michigan
13,Missouri
14,Nebraska
15,New Hampshire
16,New Mexico
17,New York
18,North Carolina
19,North Dakota
20,Oklahoma
21,Oregon
22,Pennsylvania
23,Rhode Island
24,South Carolina
25,South Dakota
26,Tennessee
27,Vermont
28,Virginia
29,Washington
30,West Virginia
31,Wisconsin
32,Wyoming
